"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1756","Clayton Kershaw",452095,"SL|CU","In play, out(s)","83.4","-27.22"
"1757","Clayton Kershaw",611177,"NULL","Swinging Strike","null","null"
"1758","Clayton Kershaw",611177,"CU|FF","Called Strike","null","null"
"1759","Clayton Kershaw",611177,"FF|FF","In play, out(s)","90.5","8.14"
"1760","Clayton Kershaw",430947,"NULL","Called Strike","null","null"
"1761","Clayton Kershaw",430947,"CU|SL","In play, out(s)","86.8","5.05"
"1762","Clayton Kershaw",430947,"SL|SL","Swinging Strike","null","null"
"1763","Clayton Kershaw",518692,"NULL","In play, out(s)","64","-16.42"
"1764","Clayton Kershaw",453211,"NULL","Swinging Strike","null","null"
"1765","Clayton Kershaw",453211,"FF|FF","Called Strike","null","null"
"1766","Clayton Kershaw",453211,"FF|CU","In play, out(s)","99.4","3.89"
"1767","Clayton Kershaw",453211,"CU|SL","Ball","null","null"
"1768","Clayton Kershaw",611177,"NULL","In play, no out","84.2","9.7"
"1769","Clayton Kershaw",457763,"NULL","In play, out(s)","95.6","-7.13"
"1770","Clayton Kershaw",457763,"FF|SL","Foul","null","-10.38"
"1771","Clayton Kershaw",622110,"NULL","Called Strike","null","null"
"1772","Clayton Kershaw",622110,"FF|FF","In play, out(s)","94.3","-13.18"
"1773","Clayton Kershaw",622110,"FF|FF","Called Strike","null","null"
"1774","Clayton Kershaw",622110,"FF|CU","Foul","null","null"
"1775","Clayton Kershaw",434636,"NULL","In play, out(s)","86.3","59.04"
"1776","Clayton Kershaw",605412,"NULL","Swinging Strike","null","null"
"1777","Clayton Kershaw",605412,"FF|FF","Ball","null","null"
"1778","Clayton Kershaw",605412,"FF|SL","Swinging Strike","null","null"
"1779","Clayton Kershaw",605412,"SL|FF","Called Strike","null","null"
"1780","Clayton Kershaw",452254,"NULL","Ball","null","null"
"1781","Clayton Kershaw",452254,"FF|CU","Ball","null","null"
"1782","Clayton Kershaw",452254,"CU|SL","In play, out(s)","75.8","-37.66"
"1783","Clayton Kershaw",452254,"SL|FF","Foul","null","null"
"1784","Clayton Kershaw",622110,"NULL","Called Strike","null","null"
"1785","Clayton Kershaw",622110,"SL|FF","Called Strike","null","null"
"1786","Clayton Kershaw",622110,"FF|FF","Foul","null","null"
"1787","Clayton Kershaw",605509,"NULL","Ball","null","null"
"1788","Clayton Kershaw",605509,"SL|SL","In play, out(s)","94.7","-2.24"
"1789","Clayton Kershaw",605509,"SL|FF","Called Strike","null","null"
"1790","Clayton Kershaw",518516,"NULL","In play, no out","86.3","17.08"
"1791","Clayton Kershaw",453923,"NULL","Ball","null","null"
"1792","Clayton Kershaw",453923,"FF|FF","Foul","null","61.59"
"1793","Clayton Kershaw",453923,"FF|SL","In play, no out","97.9","-27.68"
"1794","Clayton Kershaw",453923,"SL|FF","Foul","null","23.72"
"1795","Clayton Kershaw",453923,"FF|CU","Ball","null","null"
"1796","Clayton Kershaw",434636,"NULL","In play, no out","96.6","-7.73"
"1797","Clayton Kershaw",434636,"FF|FF","Called Strike","null","null"
"1798","Clayton Kershaw",605412,"NULL","In play, out(s)","null","null"
"1799","Clayton Kershaw",457763,"NULL","In play, out(s)","91.4","18.75"
"1800","Clayton Kershaw",457763,"FF|SL","Ball","null","null"
"1801","Clayton Kershaw",452254,"NULL","Ball","null","null"
"1802","Clayton Kershaw",452254,"FF|FF","Called Strike","null","null"
"1803","Clayton Kershaw",452254,"FF|SL","Foul","null","17.86"
"1804","Clayton Kershaw",452254,"SL|FF","In play, out(s)","94.3","20.5"
"1805","Clayton Kershaw",452254,"FF|FF","Ball","null","null"
"1806","Clayton Kershaw",452254,"FF|SL","Ball","null","null"
"1807","Clayton Kershaw",474832,"NULL","Called Strike","null","null"
"1808","Clayton Kershaw",474832,"SL|FF","Foul","null","8.42"
"1809","Clayton Kershaw",474832,"FF|FF","Ball","null","null"
"1810","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"1811","Clayton Kershaw",622110,"NULL","Ball","null","null"
"1812","Clayton Kershaw",622110,"CU|FF","Ball","null","null"
"1813","Clayton Kershaw",622110,"FF|SL","Called Strike","null","null"
"1814","Clayton Kershaw",622110,"SL|CU","Ball","null","null"
"1815","Clayton Kershaw",622110,"CU|FF","In play, out(s)","93.5","47.85"
"1816","Clayton Kershaw",518516,"NULL","Ball","null","null"
"1817","Clayton Kershaw",518516,"CU|FF","Called Strike","null","null"
"1818","Clayton Kershaw",518516,"FF|SL","Swinging Strike","null","null"
"1819","Clayton Kershaw",518516,"SL|FF","Called Strike","null","null"
"1820","Clayton Kershaw",518516,"FF|SL","Ball","null","null"
"1821","Clayton Kershaw",453923,"NULL","Ball","null","null"
"1822","Clayton Kershaw",453923,"CU|FF","Swinging Strike","null","null"
"1823","Clayton Kershaw",453923,"FF|FF","Swinging Strike","null","null"
"1824","Clayton Kershaw",453923,"FF|CU","Swinging Strike","null","null"
"1825","Clayton Kershaw",434636,"NULL","Foul","null","56.73"
"1826","Clayton Kershaw",434636,"FF|CU","Ball","null","null"
"1827","Clayton Kershaw",434636,"CU|FF","Called Strike","null","null"
"1828","Clayton Kershaw",434636,"FF|FF","In play, no out","32.8","-58.57"
"1829","Clayton Kershaw",605412,"NULL","Ball","null","null"
"1830","Clayton Kershaw",605412,"FF|SL","Foul","null","null"
"1831","Clayton Kershaw",605412,"SL|SL","In play, no out","99.7","-2.24"
"1832","Clayton Kershaw",605412,"SL|FF","Called Strike","null","null"
"1833","Clayton Kershaw",457763,"NULL","Ball","null","null"
"1834","Clayton Kershaw",457763,"SL|FF","In play, out(s)","68.8","0.28"
"1835","Clayton Kershaw",457763,"FF|SL","Called Strike","null","null"
"1836","Clayton Kershaw",452254,"NULL","Ball","null","null"
"1837","Clayton Kershaw",452254,"CU|SL","Foul","null","null"
"1838","Clayton Kershaw",452254,"SL|SL","In play, run(s)","105.7","7.32"
"1839","Clayton Kershaw",452254,"SL|FF","Called Strike","null","null"
"1840","Clayton Kershaw",452254,"FF|CU","Swinging Strike","null","null"
"1841","Clayton Kershaw",452254,"CU|FF","Ball","null","null"
"1842","Clayton Kershaw",452254,"FF|FF","Foul","null","null"
"1843","Clayton Kershaw",452254,"FF|SL","Foul","null","50.3"
"1844","Clayton Kershaw",452254,"SL|SL","Ball","null","null"
"1845","Clayton Kershaw",474832,"NULL","Ball","null","null"
"1846","Clayton Kershaw",474832,"FF|FF","Foul","null","null"
"1847","Clayton Kershaw",474832,"FF|FF","Ball","null","null"
"1848","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"1849","Clayton Kershaw",474832,"FF|FF","Ball","null","null"
"1850","Clayton Kershaw",474832,"FF|SL","Foul","null","-6.75"
