"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"762","Lucas Harrell",445988,"FT|FT","Swinging Strike","null","null"
"765","Lucas Harrell",592885,"CH|CH","Foul","null","null"
"766","Lucas Harrell",592885,"CH|FT","Called Strike","null","null"
"768","Lucas Harrell",592885,"FF|FT","Swinging Strike","null","null"
"771","Lucas Harrell",542303,"FT|FT","Foul","null","null"
"773","Lucas Harrell",542303,"FT|FT","Foul","null","null"
"774","Lucas Harrell",542303,"FT|SL","Foul","null","null"
"775","Lucas Harrell",542303,"SL|CH","Swinging Strike (Blocked)","null","null"
"778","Lucas Harrell",571506,"FT|FF","Swinging Strike","null","null"
"779","Lucas Harrell",571506,"FF|FT","Called Strike","null","null"
"786","Lucas Harrell",400085,"FT|FT","Called Strike","null","null"
"787","Lucas Harrell",400085,"FT|CH","In play, run(s)","92.4","22.65"
"790","Lucas Harrell",445988,"FT|FT","In play, out(s)","84.4","21.7"
"793","Lucas Harrell",592885,"FT|SL","Called Strike","null","null"
"794","Lucas Harrell",592885,"SL|SL","In play, out(s)","104.1","17.84"
"797","Lucas Harrell",542303,"SL|FT","In play, out(s)","90.9","35.96"
"801","Lucas Harrell",571506,"CU|FT","Called Strike","null","null"
"802","Lucas Harrell",571506,"FT|SL","Foul","null","null"
"808","Lucas Harrell",592663,"FT|FT","Called Strike","null","null"
"809","Lucas Harrell",592663,"FT|FT","In play, out(s)","99.7","17.36"
"811","Lucas Harrell",500743,"FT|FT","Called Strike","null","null"
"812","Lucas Harrell",500743,"FT|SL","In play, no out","90.6","23.17"
"814","Lucas Harrell",400085,"FT|FF","Swinging Strike","null","null"
"815","Lucas Harrell",400085,"FF|FT","Called Strike","null","null"
"817","Lucas Harrell",445988,"FT|SL","Called Strike","null","null"
"818","Lucas Harrell",445988,"SL|FT","In play, out(s)","null","null"
"819","Lucas Harrell",445988,"FT|FT","Called Strike","null","null"
"822","Lucas Harrell",592885,"FT|CU","In play, out(s)","null","null"
"823","Lucas Harrell",592885,"CU|CH","Foul","null","null"
"824","Lucas Harrell",592885,"CH|FT","Called Strike","null","null"
"828","Lucas Harrell",605228,"SL|FT","In play, out(s)","98.3","-0.07"
"829","Lucas Harrell",605228,"FT|SL","In play, out(s)","null","null"
"831","Lucas Harrell",518618,"CU|CH","In play, no out","100.1","10.91"
"833","Lucas Harrell",518618,"FT|CH","Called Strike","null","null"
