"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"94","Jeanmar Gomez",474568,"CH|SL","Foul","null","null"
"96","Jeanmar Gomez",570256,"CH|SI","Called Strike","null","null"
"97","Jeanmar Gomez",570256,"SI|SI","Foul","null","null"
"99","Jeanmar Gomez",628356,"SI|SI","Called Strike","null","null"
"100","Jeanmar Gomez",628356,"SI|SI","Foul","null","null"
"102","Jeanmar Gomez",628356,"SL|CH","In play, no out","49.8","-61.55"
"104","Jeanmar Gomez",465041,"CH|CH","In play, out(s)","91.6","0.68"
"105","Jeanmar Gomez",465041,"CH|SI","Called Strike","null","null"
"106","Jeanmar Gomez",465041,"SI|SI","Called Strike","null","null"
"108","Jeanmar Gomez",446481,"SL|CH","In play, run(s)","100.3","14.19"
"109","Jeanmar Gomez",446481,"CH|SL","Swinging Strike","null","null"
"112","Jeanmar Gomez",474568,"SI|SI","In play, out(s)","93.1","33.12"
"115","Jeanmar Gomez",543685,"SI|SI","Foul","null","null"
"117","Jeanmar Gomez",543685,"SI|SI","Foul","null","null"
"118","Jeanmar Gomez",543685,"SI|SL","Swinging Strike","null","null"
"120","Jeanmar Gomez",475582,"SI|SI","Called Strike","null","null"
"121","Jeanmar Gomez",475582,"SI|SI","In play, no out","null","null"
"123","Jeanmar Gomez",467092,"CH|SI","Called Strike","null","null"
"127","Jeanmar Gomez",467092,"CH|SI","Swinging Strike","null","null"
"129","Jeanmar Gomez",519208,"CH|SI","In play, out(s)","82.9","55.99"
"130","Jeanmar Gomez",519208,"SI|SL","Called Strike","null","null"
"133","Jeanmar Gomez",592663,"SI|SI","Swinging Strike","null","null"
"134","Jeanmar Gomez",592663,"SI|CH","Swinging Strike","null","null"
"138","Jeanmar Gomez",518618,"SI|CU","Foul","null","null"
"141","Jeanmar Gomez",588751,"SI|SI","Foul","null","null"
"142","Jeanmar Gomez",588751,"SI|SI","In play, no out","61.7","-25.17"
"143","Jeanmar Gomez",588751,"SI|SI","Called Strike","null","null"
"146","Jeanmar Gomez",400085,"SI|SI","Foul","null","null"
"148","Jeanmar Gomez",400085,"SI|SI","In play, out(s)","81.3","25.67"
"150","Jeanmar Gomez",543829,"SI|SI","Called Strike","null","null"
"153","Jeanmar Gomez",543829,"SI|SI","Foul","null","null"
"156","Jeanmar Gomez",453400,"SI|CH","Swinging Strike","null","null"
"157","Jeanmar Gomez",453400,"CH|SI","Called Strike","null","null"
"162","Jeanmar Gomez",592663,"CH|CH","Foul","null","null"
"163","Jeanmar Gomez",592663,"CH|SI","Called Strike","null","null"
"164","Jeanmar Gomez",592663,"SI|CH","Foul","null","null"
"165","Jeanmar Gomez",592663,"CH|SI","Foul","null","null"
"166","Jeanmar Gomez",592663,"SI|SI","In play, out(s)","null","null"
"168","Jeanmar Gomez",592885,"CH|SI","Foul","null","null"
"169","Jeanmar Gomez",592885,"SI|SI","In play, out(s)","99.1","0.1"
"170","Jeanmar Gomez",592885,"SI|SI","Called Strike","null","null"
"171","Jeanmar Gomez",592885,"SI|CH","Called Strike","null","null"
"174","Jeanmar Gomez",607054,"SI|SL","In play, no out","null","null"
"175","Jeanmar Gomez",607054,"SL|CU","Called Strike","null","null"
"178","Jeanmar Gomez",621020,"SI|SI","In play, out(s)","null","null"
"179","Jeanmar Gomez",621020,"SI|SI","Called Strike","null","null"
"180","Jeanmar Gomez",621020,"SI|SI","Called Strike","null","null"
"182","Jeanmar Gomez",493596,"SI|SL","In play, no out","null","null"
"183","Jeanmar Gomez",493596,"SL|SL","Swinging Strike","null","null"
"187","Jeanmar Gomez",542255,"CH|SI","Foul","null","null"
"189","Jeanmar Gomez",611177,"SI|SI","Called Strike","null","null"
"191","Jeanmar Gomez",518692,"SI|SI","In play, run(s)","72.2","24.45"
"193","Jeanmar Gomez",518692,"SI|SI","Foul","null","null"
"196","Jeanmar Gomez",461314,"SI|CH","Foul","null","null"
"198","Jeanmar Gomez",461314,"SI|SI","In play, run(s)","84.9","1.8"
"200","Jeanmar Gomez",542255,"CH|SI","In play, no out","83.6","20.34"
"204","Jeanmar Gomez",543685,"SI|CU","Called Strike","null","null"
"205","Jeanmar Gomez",543685,"CU|SI","Foul","null","null"
"206","Jeanmar Gomez",543685,"SI|SI","Foul","null","null"
"208","Jeanmar Gomez",543685,"CU|CH","In play, no out","null","null"
"211","Jeanmar Gomez",467092,"SI|CH","Foul","null","null"
"213","Jeanmar Gomez",467092,"SI|SI","In play, out(s)","57.5","0.97"
"216","Jeanmar Gomez",475582,"CU|SI","Called Strike","null","null"
"217","Jeanmar Gomez",475582,"SI|SI","Called Strike","null","null"
"218","Jeanmar Gomez",475582,"SI|SI","Swinging Strike","null","null"
"220","Jeanmar Gomez",518595,"SI|SI","Called Strike","null","null"
"223","Jeanmar Gomez",518595,"SI|SI","In play, out(s)","95","32.29"
"226","Jeanmar Gomez",608061,"SI|SI","In play, out(s)","73.5","-17.37"
"228","Jeanmar Gomez",608061,"SL|SI","Called Strike","null","null"
"229","Jeanmar Gomez",608061,"SI|SI","Called Strike","null","null"
"233","Jeanmar Gomez",425784,"SI|SI","Called Strike","null","null"
"235","Jeanmar Gomez",425784,"SI|SI","In play, out(s)","58.8","11.12"
"237","Jeanmar Gomez",466320,"CH|SI","Called Strike","null","null"
"244","Jeanmar Gomez",453943,"CH|SI","Called Strike","null","null"
"251","Jeanmar Gomez",425900,"CH|SI","Swinging Strike","null","null"
"252","Jeanmar Gomez",425900,"SI|CH","In play, out(s)","87.2","0.3"
"259","Jeanmar Gomez",425509,"CH|SL","Foul","null","null"
"260","Jeanmar Gomez",425509,"SL|SI","In play, no out","77.9","7.83"
"261","Jeanmar Gomez",425509,"SI|SI","Called Strike","null","null"
"262","Jeanmar Gomez",425509,"SI|SI","Called Strike","null","null"
"264","Jeanmar Gomez",425509,"CH|SI","Foul","null","null"
"269","Jeanmar Gomez",576397,"SI|SI","In play, out(s)","97.4","-3.55"
"270","Jeanmar Gomez",576397,"SI|SI","Foul","null","null"
"271","Jeanmar Gomez",576397,"SI|SI","Foul","null","null"
"272","Jeanmar Gomez",576397,"SI|SI","Foul","null","null"
"274","Jeanmar Gomez",425877,"SI|SL","Called Strike","null","null"
"275","Jeanmar Gomez",425877,"SL|SL","Foul","null","null"
"279","Jeanmar Gomez",576397,"SI|CH","Foul","null","null"
"280","Jeanmar Gomez",576397,"CH|SL","Foul","null","null"
"282","Jeanmar Gomez",576397,"SI|SI","Foul","null","null"
"283","Jeanmar Gomez",576397,"SI|SI","Foul","null","null"
"284","Jeanmar Gomez",576397,"SI|CH","In play, run(s)","105.4","28.03"
"286","Jeanmar Gomez",543939,"SL|SL","Called Strike","null","null"
"288","Jeanmar Gomez",545341,"CH|SI","In play, out(s)","87.7","-18.87"
"289","Jeanmar Gomez",545341,"SI|SI","Called Strike","null","null"
"291","Jeanmar Gomez",425509,"SI|SI","Called Strike","null","null"
"294","Jeanmar Gomez",592626,"CH|SI","Called Strike","null","null"
"296","Jeanmar Gomez",592626,"CH|CH","In play, out(s)","92.6","-16.85"
"298","Jeanmar Gomez",571771,"CH|SL","Foul","null","null"
"299","Jeanmar Gomez",571771,"SL|SL","In play, out(s)","83.8","44.13"
"300","Jeanmar Gomez",571771,"SL|FF","Called Strike","null","null"
"301","Jeanmar Gomez",571771,"FF|SI","Foul","null","null"
"305","Jeanmar Gomez",518934,"SI|SI","Called Strike","null","null"
"307","Jeanmar Gomez",518934,"SI|SI","Foul","null","null"
"309","Jeanmar Gomez",518934,"SI|SI","Called Strike","null","null"
"311","Jeanmar Gomez",518934,"SI|SI","Foul","null","null"
"312","Jeanmar Gomez",518934,"SI|SI","Foul","null","null"
"315","Jeanmar Gomez",621311,"CH|SI","Called Strike","null","null"
"321","Jeanmar Gomez",518614,"SI|SI","In play, out(s)","90.1","-9.43"
"326","Jeanmar Gomez",571448,"CH|SI","Called Strike","null","null"
"327","Jeanmar Gomez",571448,"SI|CH","In play, no out","101.4","4.19"
"330","Jeanmar Gomez",453568,"SL|SI","Called Strike","null","null"
"331","Jeanmar Gomez",453568,"SI|SI","Called Strike","null","null"
"334","Jeanmar Gomez",518934,"SI|CH","In play, no out","103.2","0.3"
"335","Jeanmar Gomez",518934,"CH|SI","Called Strike","null","null"
"336","Jeanmar Gomez",518934,"SI|SI","Called Strike","null","null"
"340","Jeanmar Gomez",571448,"SI|SI","Called Strike","null","null"
"341","Jeanmar Gomez",571448,"SI|SI","Foul","null","null"
"343","Jeanmar Gomez",621311,"SI|SL","Foul","null","null"
"345","Jeanmar Gomez",621311,"CH|SL","Called Strike","null","null"
"346","Jeanmar Gomez",621311,"SL|CH","Foul","null","null"
"347","Jeanmar Gomez",621311,"CH|SI","Foul","null","null"
