"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"374","Ross Ohlendorf",502205,"FF|FF","Called Strike","null","null"
"375","Ross Ohlendorf",502205,"FF|SL","In play, out(s)","80.8","54.08"
"377","Ross Ohlendorf",592273,"SL|FF","Foul","null","null"
"379","Ross Ohlendorf",592273,"SL|FF","In play, no out","98.4","4.49"
"380","Ross Ohlendorf",592273,"FF|SL","Foul","null","null"
"382","Ross Ohlendorf",630111,"FF|FF","Foul","null","null"
"385","Ross Ohlendorf",516416,"SL|SL","Swinging Strike","null","null"
"387","Ross Ohlendorf",516416,"FF|SL","Swinging Strike","null","null"
"389","Ross Ohlendorf",594838,"CH|FF","Called Strike","null","null"
"390","Ross Ohlendorf",594838,"FF|FF","In play, run(s)","100.3","8.69"
"398","Ross Ohlendorf",542255,"FF|SL","Swinging Strike (Blocked)","null","null"
"399","Ross Ohlendorf",542255,"SL|FF","Called Strike","null","null"
"401","Ross Ohlendorf",150229,"CH|CH","Swinging Strike","null","null"
"402","Ross Ohlendorf",150229,"CH|FF","Foul","null","null"
"403","Ross Ohlendorf",150229,"FF|FF","Foul","null","null"
"404","Ross Ohlendorf",150229,"FF|SL","Foul","null","null"
"405","Ross Ohlendorf",150229,"SL|FT","Foul","null","null"
"406","Ross Ohlendorf",150229,"FT|SL","Swinging Strike (Blocked)","null","null"
"409","Ross Ohlendorf",489232,"SL|FF","In play, out(s)","99","-13.76"
"410","Ross Ohlendorf",489232,"FF|FF","Foul","null","null"
"415","Ross Ohlendorf",493596,"FF|FF","Called Strike","null","null"
"417","Ross Ohlendorf",493596,"SL|SL","Foul","null","null"
"419","Ross Ohlendorf",493596,"FF|SL","In play, out(s)","98.3","3.65"
"421","Ross Ohlendorf",150229,"FF|FF","Called Strike","null","null"
"422","Ross Ohlendorf",150229,"FF|FF","In play, no out","98.1","25.14"
"424","Ross Ohlendorf",460075,"SL|FF","In play, out(s)","null","null"
"426","Ross Ohlendorf",519317,"SL|SL","Swinging Strike","null","null"
"427","Ross Ohlendorf",519317,"SL|SL","In play, out(s)","75.1","46.12"
"431","Ross Ohlendorf",592663,"FF|SL","Swinging Strike (Blocked)","null","null"
"432","Ross Ohlendorf",592663,"SL|FF","Called Strike","null","null"
"435","Ross Ohlendorf",445988,"FF|FF","In play, no out","96.8","-5.11"
"437","Ross Ohlendorf",592885,"CH|FF","Foul","null","null"
"440","Ross Ohlendorf",592885,"FF|FF","In play, out(s)","101.5","40.57"
"443","Ross Ohlendorf",519317,"FF|FF","Called Strike","null","null"
"446","Ross Ohlendorf",519317,"FF|SL","Foul","null","null"
"448","Ross Ohlendorf",518792,"CH|CH","Foul","null","null"
"450","Ross Ohlendorf",518792,"FF|CH","Foul","null","null"
"453","Ross Ohlendorf",518792,"FF|CH","Called Strike","null","null"
