"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"636","Nate Jones",596144,"FT|FT","Called Strike","null","null"
"639","Nate Jones",518568,"SL|FT","In play, out(s)","51.1","30.55"
"642","Nate Jones",475582,"FT|FT","Foul","null","null"
"643","Nate Jones",475582,"FT|SL","Swinging Strike","null","null"
"645","Nate Jones",475582,"FT|SL","Foul","null","null"
"647","Nate Jones",446653,"FT|FT","Foul","null","null"
"648","Nate Jones",446653,"FT|FT","Swinging Strike","null","null"
"652","Nate Jones",457787,"SL|FT","In play, out(s)","99.6","31.63"
"653","Nate Jones",457787,"FT|SL","Called Strike","null","null"
"656","Nate Jones",543685,"FT|FT","In play, out(s)","67.2","-47.77"
"659","Nate Jones",452220,"FT|FT","Foul","null","null"
"660","Nate Jones",452220,"FT|CH","Foul","null","null"
"661","Nate Jones",452220,"CH|FT","Called Strike","null","null"
"663","Nate Jones",452220,"FT|SL","Called Strike","null","null"
"665","Nate Jones",435522,"FT|FT","Called Strike","null","null"
"668","Nate Jones",425766,"FT|SL","Called Strike","null","null"
"669","Nate Jones",425766,"SL|SL","Called Strike","null","null"
"670","Nate Jones",425766,"SL|FT","In play, no out","94.8","12.77"
"674","Nate Jones",501571,"SL|FT","Called Strike","null","null"
"678","Nate Jones",571841,"FT|FT","Swinging Strike","null","null"
"679","Nate Jones",571841,"FT|FT","Foul","null","null"
"682","Nate Jones",571841,"FT|FT","In play, out(s)","100.1","-8.71"
"686","Nate Jones",493316,"FT|FT","Foul","null","null"
"688","Nate Jones",493316,"FT|SL","Called Strike","null","null"
"690","Nate Jones",434158,"FT|FT","Called Strike","null","null"
"691","Nate Jones",434158,"FT|FT","Swinging Strike","null","null"
"694","Nate Jones",434158,"FT|FT","In play, out(s)","99.6","19.53"
"697","Nate Jones",571841,"FT|FT","Called Strike","null","null"
"699","Nate Jones",434158,"SL|FT","In play, out(s)","75.4","9.88"
"700","Nate Jones",434158,"FT|SL","Called Strike","null","null"
"702","Nate Jones",527038,"FT|FT","Called Strike","null","null"
"706","Nate Jones",456715,"FT|SL","Foul","null","null"
"708","Nate Jones",456715,"SL|FT","Called Strike","null","null"
"710","Nate Jones",456715,"SL|FT","Foul","null","null"
"711","Nate Jones",456715,"FT|FT","In play, run(s)","103.1","25.29"
"713","Nate Jones",543333,"FT|FT","Swinging Strike","null","null"
"714","Nate Jones",543333,"FT|FT","Foul","null","null"
"717","Nate Jones",543333,"SL|FT","Foul","null","null"
"718","Nate Jones",543333,"FT|SL","In play, no out","96.3","-7.12"
"721","Nate Jones",434778,"SL|FT","Foul","null","null"
"725","Nate Jones",434778,"SL|FT","Foul","null","null"
"729","Nate Jones",518649,"FT|FT","Called Strike","null","null"
"733","Nate Jones",521692,"FT|FT","Foul","null","null"
"735","Nate Jones",521692,"SL|FT","Called Strike","null","null"
"737","Nate Jones",521692,"FT|SL","Swinging Strike","null","null"
"739","Nate Jones",449181,"FT|FT","Foul","null","null"
"742","Nate Jones",518649,"SL|SL","Missed Bunt","null","null"
"745","Nate Jones",502481,"FT|FT","Foul","null","null"
"747","Nate Jones",502481,"FT|FT","In play, run(s)","82","23.85"
"749","Nate Jones",444876,"SL|SL","In play, out(s)","57.1","-29.25"
"750","Nate Jones",444876,"SL|FT","Called Strike","null","null"
"753","Nate Jones",543228,"FT|FT","Foul","null","null"
"754","Nate Jones",543228,"FT|FT","Called Strike","null","null"
"755","Nate Jones",543228,"FT|SL","Swinging Strike","null","null"
"757","Nate Jones",543228,"SL|SL","Foul","null","null"
"759","Nate Jones",521692,"FT|FT","Foul","null","null"
"760","Nate Jones",521692,"FT|SL","Swinging Strike","null","null"
"762","Nate Jones",521692,"SL|FT","Foul","null","null"
"763","Nate Jones",521692,"FT|SL","Foul","null","null"
"765","Nate Jones",593160,"FT|FT","Foul","null","null"
"766","Nate Jones",593160,"FT|FT","Swinging Strike","null","null"
"767","Nate Jones",593160,"FT|FT","Swinging Strike","null","null"
"773","Nate Jones",593160,"FT|FT","In play, no out","103.5","9.98"
"775","Nate Jones",502481,"FT|FT","Foul","null","null"
"776","Nate Jones",502481,"FT|SL","In play, out(s)","104.5","-7.99"
"781","Nate Jones",514888,"FT|FT","Called Strike","null","null"
"784","Nate Jones",621043,"FT|SL","Foul","null","null"
"788","Nate Jones",621043,"FT|FT","Foul","null","null"
"789","Nate Jones",621043,"FT|FT","In play, out(s)","96.3","1.4"
"791","Nate Jones",407893,"FT|FT","In play, out(s)","97.9","-12.61"
"797","Nate Jones",543305,"CU|SL","Swinging Strike","null","null"
"798","Nate Jones",543305,"SL|CH","Foul","null","null"
"801","Nate Jones",516770,"FT|SL","In play, out(s)","80.1","-27.24"
"803","Nate Jones",516770,"FT|FT","Called Strike","null","null"
"804","Nate Jones",516770,"FT|SL","Swinging Strike (Blocked)","null","null"
"806","Nate Jones",596059,"FT|FT","In play, no out","106.8","11.39"
"807","Nate Jones",596059,"FT|FT","Foul","null","null"
"811","Nate Jones",608577,"FT|SL","Swinging Strike","null","null"
"812","Nate Jones",608577,"SL|FT","Foul","null","null"
"813","Nate Jones",608577,"FT|SL","Foul","null","null"
"814","Nate Jones",608577,"SL|SL","Foul","null","null"
"816","Nate Jones",134181,"SL|SL","Called Strike","null","null"
"820","Nate Jones",425902,"SL|FT","Foul","null","null"
"821","Nate Jones",425902,"FT|SL","Swinging Strike","null","null"
"822","Nate Jones",425902,"SL|SL","In play, out(s)","62.1","-2.46"
"824","Nate Jones",456488,"FT|SL","Swinging Strike","null","null"
"825","Nate Jones",456488,"SL|FT","Called Strike","null","null"
"828","Nate Jones",593871,"FT|CU","Called Strike","null","null"
"832","Nate Jones",593934,"FT|FT","Foul","null","null"
"833","Nate Jones",593934,"FT|FT","In play, out(s)","98","34.64"
"835","Nate Jones",593934,"FT|FT","Called Strike","null","null"
"839","Nate Jones",666560,"FT|SL","Swinging Strike (Blocked)","null","null"
"841","Nate Jones",666560,"FT|SL","Called Strike","null","null"
"843","Nate Jones",461858,"FT|SL","In play, out(s)","89.7","-30.26"
"844","Nate Jones",461858,"SL|FT","Called Strike","null","null"
"847","Nate Jones",666560,"FT|FT","Hit By Pitch","null","null"
"849","Nate Jones",542455,"FT|FT","Swinging Strike","null","null"
"850","Nate Jones",542455,"FT|SL","Swinging Strike","null","null"
"855","Nate Jones",572073,"FT|FT","Foul","null","null"
"857","Nate Jones",572073,"SL|FT","Foul","null","null"
"859","Nate Jones",572073,"SL|SL","In play, out(s)","83.7","41.49"
"861","Nate Jones",446308,"FT|FT","Swinging Strike","null","null"
"866","Nate Jones",429666,"SL|SL","Called Strike","null","null"
"867","Nate Jones",429666,"SL|FT","Called Strike","null","null"
