"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1709","Tyler Chatwood",474568,"FT|FC","In play, run(s)","79.3","16.9"
"1711","Tyler Chatwood",444379,"FF|CU","Called Strike","null","null"
"1712","Tyler Chatwood",444379,"CU|FF","In play, out(s)","101.1","0.81"
"1714","Tyler Chatwood",516782,"FT|FF","Foul","null","null"
"1716","Tyler Chatwood",516782,"FT|FT","In play, out(s)","56.8","-29.93"
"1720","Tyler Chatwood",570256,"CU|FT","Called Strike","null","null"
"1721","Tyler Chatwood",570256,"FT|FF","In play, no out","83.5","8.81"
"1723","Tyler Chatwood",628356,"FC|FF","Called Strike","null","null"
"1724","Tyler Chatwood",628356,"FF|FC","In play, out(s)","88.1","35.21"
"1726","Tyler Chatwood",465041,"FC|FT","Foul","null","null"
"1727","Tyler Chatwood",465041,"FT|FT","In play, out(s)","86.8","-29"
"1730","Tyler Chatwood",465041,"FF|FF","Called Strike","null","null"
"1731","Tyler Chatwood",465041,"FF|FT","Called Strike","null","null"
"1734","Tyler Chatwood",543281,"FT|FT","Foul","null","null"
"1735","Tyler Chatwood",543281,"FT|FF","In play, out(s)","97","-12.13"
"1738","Tyler Chatwood",444379,"FT|FT","In play, no out","90.1","-6.08"
"1740","Tyler Chatwood",516782,"FT|FT","Foul","null","null"
"1741","Tyler Chatwood",516782,"FT|FC","Swinging Strike","null","null"
"1743","Tyler Chatwood",570256,"FF|FT","Foul","null","null"
"1746","Tyler Chatwood",570256,"FF|FF","Swinging Strike","null","null"
"1758","Tyler Chatwood",543281,"FF|FF","Called Strike","null","null"
"1759","Tyler Chatwood",543281,"FF|FT","Foul","null","null"
"1760","Tyler Chatwood",543281,"FT|FC","In play, out(s)","null","null"
"1764","Tyler Chatwood",457477,"FF|CU","Swinging Strike (Blocked)","null","null"
"1766","Tyler Chatwood",457477,"FT|FF","Foul","null","null"
"1767","Tyler Chatwood",457477,"FF|FT","Foul","null","null"
"1769","Tyler Chatwood",452678,"FF|FF","In play, out(s)","79.4","-50.72"
"1771","Tyler Chatwood",493316,"FT|FT","In play, run(s)","104.1","26.79"
"1772","Tyler Chatwood",493316,"FT|FT","Called Strike","null","null"
"1775","Tyler Chatwood",446263,"FF|CU","Swinging Strike","null","null"
"1776","Tyler Chatwood",446263,"CU|CU","Called Strike","null","null"
"1779","Tyler Chatwood",435522,"FF|FF","In play, out(s)","77.5","-61.76"
"1781","Tyler Chatwood",435522,"FF|FF","Called Strike","null","null"
"1782","Tyler Chatwood",435522,"FF|FF","Foul","null","null"
"1786","Tyler Chatwood",457477,"FT|FF","Swinging Strike","null","null"
"1788","Tyler Chatwood",457477,"FT|FT","Foul","null","null"
"1790","Tyler Chatwood",624424,"FF|FF","In play, run(s)","67","11.76"
"1793","Tyler Chatwood",624424,"FF|FF","Swinging Strike","null","null"
"1795","Tyler Chatwood",493316,"FT|FT","In play, out(s)","99.4","19.92"
"1796","Tyler Chatwood",493316,"FT|FT","Foul","null","null"
"1798","Tyler Chatwood",446263,"FF|CU","Called Strike","null","null"
"1800","Tyler Chatwood",608700,"FC|FF","Foul","null","null"
"1802","Tyler Chatwood",608700,"FF|FC","Called Strike","null","null"
"1811","Tyler Chatwood",452678,"FF|FF","Swinging Strike","null","null"
"1812","Tyler Chatwood",452678,"FF|CU","Foul","null","null"
"1813","Tyler Chatwood",452678,"CU|CU","Foul","null","null"
"1815","Tyler Chatwood",624424,"FF|CU","Called Strike","null","null"
"1818","Tyler Chatwood",624424,"CU|CU","Foul","null","null"
"1819","Tyler Chatwood",624424,"CU|CU","Foul","null","null"
"1820","Tyler Chatwood",624424,"CU|FF","In play, out(s)","50.9","-31.42"
"1824","Tyler Chatwood",446263,"FT|FF","Foul","null","null"
"1825","Tyler Chatwood",446263,"FF|FT","In play, out(s)","102.4","-13.45"
"1830","Tyler Chatwood",435522,"FT|FF","Called Strike","null","null"
"1833","Tyler Chatwood",608700,"FT|FT","In play, out(s)","106.6","-3.91"
"1834","Tyler Chatwood",608700,"FT|FT","Called Strike","null","null"
"1836","Tyler Chatwood",594798,"FF|FF","Swinging Strike","null","null"
"1841","Tyler Chatwood",452678,"FF|FF","Swinging Strike","null","null"
"1842","Tyler Chatwood",452678,"FF|FF","In play, no out","80.2","1.82"
"1847","Tyler Chatwood",493472,"FF|FF","In play, no out","103.9","-7.77"
"1848","Tyler Chatwood",493472,"FF|FC","Foul","null","null"
"1849","Tyler Chatwood",493472,"FC|FT","In play, out(s)","98.2","-26.43"
"1850","Tyler Chatwood",493472,"FT|FF","Called Strike","null","null"
"1853","Tyler Chatwood",608700,"FC|FF","Foul","null","null"
"1854","Tyler Chatwood",608700,"FF|FC","In play, out(s)","null","null"
"1856","Tyler Chatwood",594798,"FT|FF","Foul","null","null"
"1857","Tyler Chatwood",594798,"FF|FT","In play, out(s)","80","-27.54"
"1861","Tyler Chatwood",435522,"FT|FF","In play, out(s)","93.6","6.15"
"1864","Tyler Chatwood",624424,"FT|FF","Foul","null","null"
"1866","Tyler Chatwood",516416,"FF|FF","In play, no out","102.8","20.34"
"1872","Tyler Chatwood",571875,"FF|FF","Called Strike","null","null"
"1874","Tyler Chatwood",456078,"FT|FC","Called Strike","null","null"
"1877","Tyler Chatwood",572008,"FF|FT","Foul","null","null"
