pitch_type,player_name,batter
SI,Chad Kuhl,572761
SI,Chad Kuhl,572039
SL,Chad Kuhl,572039
SL,Chad Kuhl,572039
FF,Clayton Kershaw,452254
SI,Jon Lester,592731
SI,Jon Lester,592731
FF,Jon Lester,606299
FF,Jon Lester,606299
FF,Jon Lester,458015
FC,Jon Lester,458015
SI,Jon Lester,458015
SL,Clayton Kershaw,605412
SL,Clayton Kershaw,605412
SL,Clayton Kershaw,491676
FF,Clayton Kershaw,491676
FF,Joe Kelly,581527
FF,Joe Kelly,581527
FT,Joe Kelly,581527
SI,Chad Kuhl,425877
SI,Chad Kuhl,425877
SI,Chad Kuhl,425877
FF,Clayton Kershaw,434636
FF,Clayton Kershaw,434636
FF,Clayton Kershaw,434636
SL,Nate Jones,593934
FT,Nate Jones,593934
FT,Nate Jones,593934
FT,Nate Jones,593934
FT,Nate Jones,573627
FT,Nate Jones,573627
FT,Nate Jones,573627
FT,Nate Jones,573627
FF,Carlos Martinez,605137
FT,Carlos Martinez,605137
CU,Carlos Martinez,605137
CU,Carlos Martinez,605137
CU,Carlos Martinez,605137
FT,Carlos Martinez,605137
FF,Carlos Martinez,605137
FF,Carlos Martinez,605137
CH,Carlos Martinez,605137
FT,Carlos Martinez,457705
CU,Carlos Martinez,457705
FF,Carlos Martinez,457705
FT,Carlos Martinez,457705
CU,Carlos Martinez,457705
CU,Carlos Martinez,457705
FT,Carlos Martinez,444379
FT,Carlos Martinez,444379
FT,Carlos Martinez,446481
FT,Carlos Martinez,446481
CH,Carlos Martinez,593700
FF,Carlos Martinez,593700
FT,Carlos Martinez,593700
CU,Carlos Martinez,518700
CU,Carlos Martinez,518700
CU,Carlos Martinez,518700
CU,Carlos Martinez,518700
CU,Carlos Martinez,518700
CU,Carlos Martinez,607192
CU,Carlos Martinez,607192
FF,Carlos Martinez,607192
CU,Carlos Martinez,605137
CU,Carlos Martinez,605137
CH,Carlos Martinez,605137
CH,Carlos Martinez,605137
CU,Carlos Martinez,570256
CH,Carlos Martinez,570256
CH,Carlos Martinez,570256
CU,Carlos Martinez,570256
FT,Carlos Martinez,457705
CH,Carlos Martinez,457705
CU,Carlos Martinez,457705
FT,Carlos Martinez,457705
FT,Carlos Martinez,457705
CU,Carlos Martinez,628356
