"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"167","Kevin Quackenbush",543768,"SL|CU","Strike","null","null"
"169","Kevin Quackenbush",543768,"FF|CU","Foul","null","null"
"172","Kevin Quackenbush",456034,"FF|FF","Foul","null","null"
"173","Kevin Quackenbush",456034,"FF|CU","Foul","null","null"
"174","Kevin Quackenbush",456034,"CU|FF","Strike","null","null"
"175","Kevin Quackenbush",456034,"FF|FF","Foul","null","null"
"177","Kevin Quackenbush",456030,"CU|CU","Hit","63.4","-42.59"
"178","Kevin Quackenbush",456030,"CU|FF","Strike","null","null"
"182","Kevin Quackenbush",605141,"FF|FF","Strike","null","null"
"183","Kevin Quackenbush",605141,"FF|FF","Hit","null","null"
"188","Kevin Quackenbush",455759,"FF|CU","Strike","null","null"
"189","Kevin Quackenbush",455759,"CU|FF","Strike","null","null"
"190","Kevin Quackenbush",455759,"FF|FF","Hit","91.9","18.4"
"194","Kevin Quackenbush",593428,"CU|SL","Strike","null","null"
"195","Kevin Quackenbush",593428,"SL|SL","Foul","null","null"
"196","Kevin Quackenbush",593428,"SL|FF","Hit","null","null"
"202","Kevin Quackenbush",518735,"CU|FF","Strike","null","null"
"203","Kevin Quackenbush",518735,"FF|CU","Hit","79","0.58"
"205","Kevin Quackenbush",400284,"CH|FF","Strike","null","null"
"206","Kevin Quackenbush",400284,"FF|FF","Hit","96.8","-5.59"
"207","Kevin Quackenbush",400284,"FF|FF","Foul","null","null"
"209","Kevin Quackenbush",400284,"CU|FF","Foul","null","null"
"212","Kevin Quackenbush",621020,"IN|IN","Hit","null","null"
"213","Kevin Quackenbush",621020,"IN|IN","Hit","null","null"
"214","Kevin Quackenbush",621020,"IN|IN","Hit","null","null"
"218","Kevin Quackenbush",493596,"FF|SL","Foul","null","null"
"219","Kevin Quackenbush",493596,"SL|FF","Hit","101.6","10.75"
"221","Kevin Quackenbush",542255,"CU|FF","Strike","null","null"
"222","Kevin Quackenbush",542255,"FF|CU","Foul","null","null"
"223","Kevin Quackenbush",542255,"CU|FF","Hit","87.4","13.49"
"225","Kevin Quackenbush",611177,"FF|SL","Hit","75.4","4.78"
"227","Kevin Quackenbush",607054,"FF|FF","Strike","null","null"
"229","Kevin Quackenbush",607054,"CU|FF","Hit","107.1","-5.71"
"232","Kevin Quackenbush",400085,"FF|FF","Foul","null","null"
"233","Kevin Quackenbush",400085,"FF|FF","Foul","null","null"
"235","Kevin Quackenbush",400085,"CU|FF","Strike","null","null"
"236","Kevin Quackenbush",400085,"FF|FF","Hit","69.7","44.53"
"239","Kevin Quackenbush",592663,"FF|FF","Foul","null","null"
"244","Kevin Quackenbush",588751,"SL|CU","Strike","null","null"
"245","Kevin Quackenbush",588751,"CU|SL","Foul","null","null"
"246","Kevin Quackenbush",588751,"SL|FF","Foul","null","null"
"247","Kevin Quackenbush",588751,"FF|SL","Foul","null","null"
"249","Kevin Quackenbush",543829,"CU|FF","Foul","null","null"
"250","Kevin Quackenbush",543829,"FF|FF","Strike","null","null"
"252","Kevin Quackenbush",543829,"CU|CU","Foul","null","null"
"253","Kevin Quackenbush",543829,"CU|FF","Hit","77.4","22.28"
"257","Kevin Quackenbush",425796,"FF|FF","Foul","null","null"
"258","Kevin Quackenbush",425796,"FF|FF","Strike","null","null"
"261","Kevin Quackenbush",435180,"FF|SL","Foul","null","null"
"263","Kevin Quackenbush",435180,"FF|FF","Foul","null","null"
"264","Kevin Quackenbush",435180,"FF|CU","Foul","null","null"
"266","Kevin Quackenbush",435180,"SL|FF","Hit","71.7","34.66"
"271","Kevin Quackenbush",588751,"FF|FF","Hit","86.5","38.88"
"274","Kevin Quackenbush",450314,"CU|FF","Hit","87.5","23.99"
"275","Kevin Quackenbush",450314,"FF|FF","Strike","null","null"
"281","Kevin Quackenbush",595879,"FF|CU","Hit","92.4","-3.5"
"287","Kevin Quackenbush",572008,"FF|CU","Strike","null","null"
"288","Kevin Quackenbush",572008,"CU|CU","Strike","null","null"
"289","Kevin Quackenbush",572008,"CU|SL","Strike","null","null"
"291","Kevin Quackenbush",456422,"CU|FF","Foul","null","null"
"292","Kevin Quackenbush",456422,"FF|FF","Foul","null","null"
"293","Kevin Quackenbush",456422,"FF|CU","Foul","null","null"
"297","Kevin Quackenbush",456422,"CU|FF","Foul","null","null"
"300","Kevin Quackenbush",630111,"CU|CU","Strike","null","null"
"301","Kevin Quackenbush",630111,"CU|FF","Hit","41.4","0.18"
"303","Kevin Quackenbush",516416,"SL|FF","Strike","null","null"
"319","Kevin Quackenbush",594838,"FF|CU","Strike","null","null"
"322","Kevin Quackenbush",456422,"FF|CU","Strike","null","null"
"324","Kevin Quackenbush",456422,"CU|CU","Swinging Strike","null","null"
"326","Kevin Quackenbush",502671,"IN|IN","Hit","null","null"
"327","Kevin Quackenbush",502671,"IN|null","Hit","null","null"
"328","Kevin Quackenbush",502671,"null|IN","Hit","null","null"
"330","Kevin Quackenbush",571875,"FF|FF","Foul","null","null"
"335","Kevin Quackenbush",571875,"FF|FF","Foul","null","null"
"336","Kevin Quackenbush",571875,"FF|FF","Foul","null","null"
"338","Kevin Quackenbush",457787,"FF|FF","Foul","null","null"
"340","Kevin Quackenbush",457787,"FF|FF","Strike","null","null"
"343","Kevin Quackenbush",452220,"FF|FF","Foul","null","null"
"344","Kevin Quackenbush",452220,"FF|CU","Hit","93.7","26.16"
"346","Kevin Quackenbush",452220,"FF|FF","Foul","null","null"
"348","Kevin Quackenbush",543685,"SL|CU","Strike","null","null"
"352","Kevin Quackenbush",425877,"FF|FF","Strike","null","null"
"354","Kevin Quackenbush",425877,"SL|FF","Hit","95.6","33.52"
"356","Kevin Quackenbush",545341,"FF|CU","Strike","null","null"
"357","Kevin Quackenbush",545341,"CU|FF","Foul","null","null"
"361","Kevin Quackenbush",502054,"CU|CU","Strike","null","null"
"363","Kevin Quackenbush",594824,"FF|FF","Strike","null","null"
"364","Kevin Quackenbush",594824,"FF|CU","Hit","77.4","-5.12"
"366","Kevin Quackenbush",571431,"FF|FF","Foul","null","null"
"367","Kevin Quackenbush",571431,"FF|FF","Strike","null","null"
"370","Kevin Quackenbush",571431,"FF|FF","Foul","null","null"
"373","Kevin Quackenbush",502054,"CU|FF","Strike","null","null"
"375","Kevin Quackenbush",502054,"CU|CU","Strike","null","null"
"379","Kevin Quackenbush",571757,"CU|FF","Strike","null","null"
"381","Kevin Quackenbush",543939,"FF|FF","Foul","null","null"
"383","Kevin Quackenbush",451705,"CU|CU","Strike","null","null"
"385","Kevin Quackenbush",594824,"CU|FF","Hit","69","5.82"
"387","Kevin Quackenbush",594824,"FF|FF","Foul","null","null"
"389","Kevin Quackenbush",576397,"CU|CU","Strike","null","null"
"393","Kevin Quackenbush",572039,"FF|CU","Strike","null","null"
"394","Kevin Quackenbush",572039,"CU|FF","Foul","null","null"
"398","Kevin Quackenbush",457763,"FF|FF","Hit","100.3","34.27"
"400","Kevin Quackenbush",543063,"CU|FF","Strike","null","null"
"402","Kevin Quackenbush",543063,"CU|FF","Strike","null","null"
"406","Kevin Quackenbush",607776,"CU|FF","Strike","null","null"
"411","Kevin Quackenbush",455369,"CU|FF","Strike","null","null"
"413","Kevin Quackenbush",455369,"CU|FF","Hit","62.8","-5.97"
"416","Kevin Quackenbush",572204,"CU|FF","Foul","null","null"
"418","Kevin Quackenbush",572204,"FF|FF","Foul","null","null"
"426","Kevin Quackenbush",400284,"FF|FF","Strike","null","null"
"434","Kevin Quackenbush",408236,"CU|FF","Strike","null","null"
"437","Kevin Quackenbush",592273,"FF|FF","Strike","null","null"
"438","Kevin Quackenbush",592273,"FF|FF","Foul","null","null"
"441","Kevin Quackenbush",592273,"FF|CU","Hit","null","null"
"445","Kevin Quackenbush",456078,"CU|FF","Foul","null","null"
"448","Kevin Quackenbush",456078,"FF|FF","Strike","null","null"
"452","Kevin Quackenbush",594838,"FF|CU","Hit","87.7","24.52"
"453","Kevin Quackenbush",594838,"CU|CU","Swinging Strike","null","null"
"457","Kevin Quackenbush",456078,"FF|CU","Hit","94.4","18.94"
"458","Kevin Quackenbush",456078,"CU|FF","Strike","null","null"
"459","Kevin Quackenbush",456078,"FF|FF","Foul","null","null"
"462","Kevin Quackenbush",630111,"FF|FF","Foul","null","null"
"464","Kevin Quackenbush",592273,"FF|FF","Foul","null","null"
"466","Kevin Quackenbush",605113,"CU|FF","Foul","null","null"
"467","Kevin Quackenbush",605113,"FF|FF","Foul","null","null"
"468","Kevin Quackenbush",605113,"FF|FF","Strike","null","null"
