"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1788","Doug Fister",571431,"FC|CH","Hit","92.4","51.17"
"1791","Doug Fister",425509,"FT|FT","Foul","null","null"
"1793","Doug Fister",425509,"FT|FT","Foul","null","null"
"1794","Doug Fister",425509,"FT|FT","Foul","null","null"
"1798","Doug Fister",594824,"CU|CH","Swinging Strike","null","null"
"1802","Doug Fister",594824,"CU|CU","Swinging Strike","null","null"
"1804","Doug Fister",448802,"FT|FT","Hit","null","null"
"1808","Doug Fister",572761,"FC|FT","Hit","98","20.36"
"1810","Doug Fister",572761,"CU|FT","Strike","null","null"
"1813","Doug Fister",407812,"FT|FT","Strike","null","null"
"1815","Doug Fister",407812,"FT|FT","Foul","null","null"
"1819","Doug Fister",572039,"FT|CU","Strike","null","null"
"1820","Doug Fister",572039,"CU|FT","Hit","94.3","27.21"
"1821","Doug Fister",572039,"FT|FT","Swinging Strike","null","null"
"1824","Doug Fister",596059,"FF|CU","Swinging Strike","null","null"
"1825","Doug Fister",596059,"CU|FF","Strike","null","null"
"1829","Doug Fister",435622,"FF|FF","Strike","null","null"
"1830","Doug Fister",435622,"FF|CU","Foul","null","null"
"1832","Doug Fister",435622,"FF|FT","Strike","null","null"
"1833","Doug Fister",435622,"FT|FF","Strike","null","null"
"1835","Doug Fister",608577,"FF|CU","Foul","null","null"
"1837","Doug Fister",608577,"FF|FT","Hit","90","10.72"
"1839","Doug Fister",134181,"FF|CU","Swinging Strike","null","null"
"1841","Doug Fister",134181,"FT|CU","Swinging Strike","null","null"
"1844","Doug Fister",462101,"FT|FT","Strike","null","null"
"1846","Doug Fister",462101,"FF|FF","Hit","94.3","19.26"
"1848","Doug Fister",462101,"FF|FF","Strike","null","null"
"1849","Doug Fister",462101,"FF|FT","Foul","null","null"
"1852","Doug Fister",519048,"CU|FF","Hit","null","null"
"1855","Doug Fister",592419,"FF|FF","Hit","84","37.19"
"1857","Doug Fister",435064,"FF|FF","Hit","63.3","-2.43"
"1858","Doug Fister",435064,"FF|FT","Strike","null","null"
"1866","Doug Fister",425902,"FF|CH","Strike","null","null"
"1870","Doug Fister",462101,"FF|FT","Foul","null","null"
"1872","Doug Fister",462101,"FC|FF","Hit","104.1","-5.16"
"1873","Doug Fister",462101,"FF|FF","Strike","null","null"
"1875","Doug Fister",519048,"CU|FF","Foul","null","null"
"1876","Doug Fister",519048,"FF|FF","Swinging Strike","null","null"
"1877","Doug Fister",519048,"FF|FF","Hit","101.2","26.42"
"1879","Doug Fister",435064,"CU|FT","Foul","null","null"
"1880","Doug Fister",435064,"FT|FT","Strike","null","null"
"1882","Doug Fister",596059,"CU|CU","Hit","88.7","47.82"
"1883","Doug Fister",596059,"CU|CU","Strike","null","null"
"1886","Doug Fister",608577,"FF|CU","Swinging Strike","null","null"
"1887","Doug Fister",608577,"CU|CU","Hit","78.8","40.03"
"1893","Doug Fister",134181,"FT|CU","Hit","103.4","4.7"
"1895","Doug Fister",134181,"CU|FF","Strike","null","null"
"1898","Doug Fister",462101,"FF|FC","Swinging Strike","null","null"
