"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"467","Lucas Harrell",458015,"SL|FT","Strike","null","null"
"468","Lucas Harrell",458015,"FT|FF","Foul","null","null"
"473","Lucas Harrell",457803,"SL|CH","Strike","null","null"
"477","Lucas Harrell",408252,"SL|FT","Hit","103","-14.75"
"480","Lucas Harrell",606299,"SL|FT","Hit","103.8","10.87"
"484","Lucas Harrell",571466,"CH|FT","Foul","null","null"
"486","Lucas Harrell",543101,"FT|FT","Foul","null","null"
"487","Lucas Harrell",543101,"FT|FT","Hit","94.5","-17.82"
"490","Lucas Harrell",446359,"SL|FT","Strike","null","null"
"493","Lucas Harrell",458015,"FT|CH","Foul","null","null"
"496","Lucas Harrell",458015,"SL|SL","Foul","null","null"
"497","Lucas Harrell",458015,"SL|FF","Foul","null","null"
"500","Lucas Harrell",457803,"FT|FT","Foul","null","null"
"502","Lucas Harrell",457803,"CU|CH","Strike","null","null"
"503","Lucas Harrell",457803,"CH|CH","Hit","85.1","41.03"
"505","Lucas Harrell",553993,"FT|FF","Strike","null","null"
"509","Lucas Harrell",606299,"SL|SL","Foul","null","null"
"510","Lucas Harrell",606299,"SL|FT","Hit","72","-26.65"
"511","Lucas Harrell",606299,"FT|FT","Strike","null","null"
"514","Lucas Harrell",543101,"CU|FT","Strike","null","null"
"519","Lucas Harrell",446359,"FT|FT","Strike","null","null"
"521","Lucas Harrell",571740,"FT|SL","Hit","72.2","35.68"
"522","Lucas Harrell",571740,"SL|FT","Foul","null","null"
"526","Lucas Harrell",458015,"SL|FT","Hit","89.4","39.09"
"528","Lucas Harrell",457803,"CU|FF","Hit","95.9","12.8"
"530","Lucas Harrell",553993,"FT|FT","Hit","68.8","34.67"
"534","Lucas Harrell",606299,"SL|FT","Hit","103.5","0.18"
"537","Lucas Harrell",571466,"SL|SL","Foul","null","null"
"539","Lucas Harrell",543101,"FT|FT","Strike","null","null"
"541","Lucas Harrell",543101,"CU|FT","Foul","null","null"
"543","Lucas Harrell",446359,"CH|SL","Hit","93.1","31.63"
"545","Lucas Harrell",571466,"FT|CU","Strike","null","null"
"547","Lucas Harrell",571740,"FT|SL","Hit","83.4","52.37"
"548","Lucas Harrell",571740,"SL|FT","Foul","null","null"
"549","Lucas Harrell",571740,"FT|FT","Hit","85.3","13.88"
"552","Lucas Harrell",571740,"FT|FT","Foul","null","null"
"554","Lucas Harrell",453568,"FT|FT","Foul","null","null"
"557","Lucas Harrell",453568,"FT|FT","Hit","90.4","17.69"
"560","Lucas Harrell",518934,"SL|FT","Foul","null","null"
"561","Lucas Harrell",518934,"FT|FT","Strike","null","null"
"563","Lucas Harrell",518934,"FT|FT","Hit","85.5","-14.8"
"567","Lucas Harrell",571448,"SL|FT","Strike","null","null"
"568","Lucas Harrell",571448,"FT|FT","Foul","null","null"
"572","Lucas Harrell",471865,"FT|FF","Foul","null","null"
"573","Lucas Harrell",471865,"FF|FT","Strike","null","null"
"575","Lucas Harrell",471865,"FF|FT","Hit","null","null"
"583","Lucas Harrell",518614,"CU|FT","Strike","null","null"
"586","Lucas Harrell",448602,"SL|SL","Foul","null","null"
"588","Lucas Harrell",448602,"FT|FT","Foul","null","null"
"591","Lucas Harrell",460026,"SL|SL","Strike","null","null"
"594","Lucas Harrell",407822,"FT|CU","Foul","null","null"
"598","Lucas Harrell",518934,"FT|FT","Foul","null","null"
"599","Lucas Harrell",518934,"FT|FT","Hit","null","null"
"611","Lucas Harrell",448602,"FT|FT","Strike","null","null"
"614","Lucas Harrell",460026,"FT|FT","Hit","110.1","7.18"
"619","Lucas Harrell",518934,"FT|FT","Hit","98.6","19.36"
"621","Lucas Harrell",518934,"CU|SL","Foul","null","null"
"624","Lucas Harrell",571448,"FT|FT","Foul","null","null"
"625","Lucas Harrell",571448,"FT|CU","Hit","82.3","-8.32"
"627","Lucas Harrell",571448,"SL|CH","Foul","null","null"
"632","Lucas Harrell",596115,"SL|FT","Hit","null","null"
"633","Lucas Harrell",596115,"FT|CH","Foul","null","null"
"635","Lucas Harrell",596115,"FT|SL","Foul","null","null"
"638","Lucas Harrell",592178,"FT|CU","Strike","null","null"
"643","Lucas Harrell",519203,"FT|FT","Hit","83.7","-7.29"
"645","Lucas Harrell",450314,"FT|CH","Hit","null","null"
"647","Lucas Harrell",450314,"FT|FT","Strike","null","null"
"650","Lucas Harrell",575929,"FT|FT","Hit","null","null"
"651","Lucas Harrell",575929,"FT|FT","Strike","null","null"
"655","Lucas Harrell",608365,"FT|FT","Strike","null","null"
"657","Lucas Harrell",608365,"CU|FT","Hit","92.1","-0.03"
"659","Lucas Harrell",434628,"FT|FT","Strike","null","null"
"661","Lucas Harrell",434628,"CU|FT","Strike","null","null"
"667","Lucas Harrell",592178,"CU|FT","Foul","null","null"
"670","Lucas Harrell",592178,"CU|FT","Strike","null","null"
"671","Lucas Harrell",592178,"FT|FT","Foul","null","null"
"675","Lucas Harrell",450314,"CU|SL","Hit","99","11.32"
"678","Lucas Harrell",575929,"FT|FT","Hit","94.7","5.22"
"679","Lucas Harrell",575929,"FT|CU","Strike","null","null"
"682","Lucas Harrell",518792,"FT|FT","Hit","99.9","-3.05"
"686","Lucas Harrell",608365,"CU|CU","Foul","null","null"
"688","Lucas Harrell",608365,"FT|FT","Foul","null","null"
"689","Lucas Harrell",608365,"FT|CU","Strike","null","null"
"692","Lucas Harrell",434628,"CU|FT","Foul","null","null"
"694","Lucas Harrell",434628,"CU|FT","Foul","null","null"
"697","Lucas Harrell",595879,"FT|FT","Strike","null","null"
"700","Lucas Harrell",595879,"CU|FT","Hit","89.3","3.45"
"702","Lucas Harrell",600303,"FT|CU","Foul","null","null"
"703","Lucas Harrell",600303,"CU|SL","Foul","null","null"
"714","Lucas Harrell",450314,"CH|FT","Foul","null","null"
"715","Lucas Harrell",450314,"FT|CU","Strike","null","null"
"717","Lucas Harrell",450314,"CH|CH","Hit","100.5","-1.97"
"721","Lucas Harrell",575929,"FT|FT","Strike","null","null"
"722","Lucas Harrell",575929,"FT|FT","Hit","86.4","14.54"
"723","Lucas Harrell",575929,"FT|FT","Strike","null","null"
"724","Lucas Harrell",575929,"FT|CU","Foul","null","null"
"727","Lucas Harrell",608365,"FT|FT","Foul","null","null"
"729","Lucas Harrell",608365,"FT|CU","Hit","84.5","45.8"
"731","Lucas Harrell",600869,"SL|CU","Foul","null","null"
"733","Lucas Harrell",600869,"SL|FF","Foul","null","null"
"734","Lucas Harrell",600869,"FF|FT","Foul","null","null"
"736","Lucas Harrell",595879,"FT|FT","Strike","null","null"
"740","Lucas Harrell",600303,"FT|SL","Hit","null","null"
"741","Lucas Harrell",600303,"SL|FT","Strike","null","null"
"744","Lucas Harrell",592178,"FT|FT","Foul","null","null"
"745","Lucas Harrell",592178,"FT|FT","Foul","null","null"
"746","Lucas Harrell",592178,"FT|FT","Strike","null","null"
"751","Lucas Harrell",518618,"SL|SL","Hit","null","null"
"754","Lucas Harrell",400085,"FT|FT","Hit","94.8","34.72"
"757","Lucas Harrell",445988,"FT|FT","Foul","null","null"
"760","Lucas Harrell",445988,"FT|FT","Strike","null","null"
"761","Lucas Harrell",445988,"FT|FT","Foul","null","null"
"765","Lucas Harrell",592885,"CH|CH","Foul","null","null"
"766","Lucas Harrell",592885,"CH|FT","Strike","null","null"
"771","Lucas Harrell",542303,"FT|FT","Foul","null","null"
"773","Lucas Harrell",542303,"FT|FT","Foul","null","null"
"774","Lucas Harrell",542303,"FT|SL","Foul","null","null"
"779","Lucas Harrell",571506,"FF|FT","Strike","null","null"
"786","Lucas Harrell",400085,"FT|FT","Strike","null","null"
"787","Lucas Harrell",400085,"FT|CH","Hit","92.4","22.65"
"790","Lucas Harrell",445988,"FT|FT","Hit","84.4","21.7"
"793","Lucas Harrell",592885,"FT|SL","Strike","null","null"
"794","Lucas Harrell",592885,"SL|SL","Hit","104.1","17.84"
"797","Lucas Harrell",542303,"SL|FT","Hit","90.9","35.96"
"801","Lucas Harrell",571506,"CU|FT","Strike","null","null"
"802","Lucas Harrell",571506,"FT|SL","Foul","null","null"
"808","Lucas Harrell",592663,"FT|FT","Strike","null","null"
"809","Lucas Harrell",592663,"FT|FT","Hit","99.7","17.36"
"811","Lucas Harrell",500743,"FT|FT","Strike","null","null"
"812","Lucas Harrell",500743,"FT|SL","Hit","90.6","23.17"
"815","Lucas Harrell",400085,"FF|FT","Strike","null","null"
"817","Lucas Harrell",445988,"FT|SL","Strike","null","null"
"818","Lucas Harrell",445988,"SL|FT","Hit","null","null"
"819","Lucas Harrell",445988,"FT|FT","Strike","null","null"
"822","Lucas Harrell",592885,"FT|CU","Hit","null","null"
"823","Lucas Harrell",592885,"CU|CH","Foul","null","null"
"824","Lucas Harrell",592885,"CH|FT","Strike","null","null"
"828","Lucas Harrell",605228,"SL|FT","Hit","98.3","-0.07"
"829","Lucas Harrell",605228,"FT|SL","Hit","null","null"
"831","Lucas Harrell",518618,"CU|CH","Hit","100.1","10.91"
"833","Lucas Harrell",518618,"FT|CH","Strike","null","null"
